facility_id,facility_name,jurisdiction,facility_type,security_level,operational_status,street_address,city,state,zip_code,county,county_fips,phone_number,website,latitude,longitude,design_capacity,population,gender,data_source
10003755,North Slope Borough Correctional Center,County / Local,County / Local Jail,Not Specified,Open,1068 Kiogak Street,Barrow,AK,99723,North Slope,02185,(907) 852-0311,http://www.north-slope.org/departments/police,71.291828,-156.788132,,,Not Specified,DHS HIFLD Critical Infrastructure
10006459,Craig Jail Facility,County / Local,County / Local Jail,Not Specified,Open,506 Second St,Craig,AK,99921,Prince of Wales - Hyder,02198,(907) 826-3300,https://www.craigak.com/police,55.47574,-133.152038,,,Not Specified,DHS HIFLD Critical Infrastructure
10006894,Homer Community Jail,County / Local,County / Local Jail,Not Specified,Open,4060 Heath St,Homer,AK,99603,Kenai Peninsula Borough,02122,(907) 235-3150,https://www.cityofhomer-ak.gov/police,59.649347,-151.529276,7,,Not Specified,DHS HIFLD Critical Infrastructure
10003762,King Salmon Jail,County / Local,County / Local Jail,Not Specified,Open,"King Salmon Air Force Base, Bldg 150",King Salmon,AK,99613,Bristol Bay,02060,(907) 246-4222,https://www.usacops.com/ak/p99613/index.html,58.702109,-156.665935,,,Not Specified,DHS HIFLD Critical Infrastructure
10006897,Kodiak Jail,County / Local,County / Local Jail,Not Specified,Open,2160 Mill Bay Rd,Kodiak,AK,99615,Kodiak Island Borough,02150,(907) 486-8000,https://www.city.kodiak.ak.us/police,57.804509,-152.372896,,,Not Specified,DHS HIFLD Critical Infrastructure
10003756,Kotzebue Regional Jail,County / Local,County / Local Jail,Not Specified,Open,258 Fourth Ave D,Kotzebue,AK,99752,Northwest Arctic,02188,(907) 442-3351,https://www.cityofkotzebue.com/?SEC=E215A789-6F7C-4141-9632-4D6019F1D528,66.896473,-162.592879,12,,Not Specified,DHS HIFLD Critical Infrastructure
10003765,Sand Point Jail,County / Local,County / Local Jail,Not Specified,Not Available,423 Main St,Sand Point,AK,99661,Aleutians East,02013,(907) 383-3700,http://www.sandpointak.com/police.html,55.340875,-160.498123,,,Not Specified,DHS HIFLD Critical Infrastructure
10003760,Seward Community Jail,County / Local,County / Local Jail,Not Specified,Open,410 Adams Street,Seward,AK,99664,Kenai Peninsula,02122,(907) 224-4028,https://www.cityofseward.us/index.aspx?NID=869,60.103128,-149.43904,14,,Not Specified,DHS HIFLD Critical Infrastructure
10006895,Sitka Community Jail,County / Local,County / Local Jail,Not Specified,Open,304 Lake St 102,Sitka,AK,99835,Sitka Borough,02220,(907) 747-3349,http://www.sitkapd.com/,57.052658,-135.333568,,,Not Specified,DHS HIFLD Critical Infrastructure
10006460,Unalaska City Jail,County / Local,County / Local Jail,Not Specified,Open,29 Safety Way,Unalaska,AK,99685,Aleutians West,02016,(907) 581-1233,https://www.ci.unalaska.ak.us/publicsafety/page/corrections-division,53.871326,-166.541934,9,,Not Specified,DHS HIFLD Critical Infrastructure
10006285,Dillingham Corrections Facility,Municipal / Local,Adult Correctional Facility,Not Specified,Open,404 D Street,Dillingham,AK,99576,Dillingham,02070,(907) 842-4613,https://www.dillinghamak.us/?SEC=5FECA510-ADDE-4B03-B8ED-AC126F9540C6,59.040908,-158.466374,8,,Not Specified,DHS HIFLD Critical Infrastructure
10006896,Wrangell Correctional Center,Municipal / Local,Adult Correctional Facility,Not Specified,Open,431 Zimovia Highway,Wrangell,AK,99929,Wrangell Borough,02275,(907) 874-3304,https://www.wrangell.com/publicsafety/welcome-wrangell-police-department,56.469473,-132.37769,,,Not Specified,DHS HIFLD Critical Infrastructure
10003757,Anchorage Correctional Complex,State,Adult Correctional Facility,Maximum,Open,1400 East 4th Avenue,Anchorage,AK,99501,Anchorage,02020,(907) 269-4100,http://www.correct.state.ak.us/institutions,61.218259,-149.856667,863,832,Not Specified,DHS HIFLD Critical Infrastructure
10001239,McLaughlin Youth Center,State,Juvenile Detention / Residential,Juvenile,Open,2600 Providence Dr,Anchorage,AK,99508,Anchorage,02020,(907) 261-4324,http://dhss.alaska.gov/djj/Pages/Facilities/facilities.aspx,61.186531,-149.833205,110,23,Not Specified,DHS HIFLD Critical Infrastructure
10001958,Bethel Youth Facility,State,Juvenile Detention / Residential,Juvenile,Open,P.o. Box 1989,Bethel,AK,99559,Bethel,02050,(907) 543-5200,http://dhss.alaska.gov/djj/Pages/Facilities/facilities.aspx,60.787149,-161.787853,23,9,Not Specified,DHS HIFLD Critical Infrastructure
10003761,Yukon Kuskokwim Correctional Center,State,Adult Correctional Facility,Close,Open,1000 Chief Eddie Hoffman Hwy.,Bethel,AK,99559,Bethel,02050,(907) 543-5245,http://www.correct.state.ak.us/institutions,60.786218,-161.787347,232,170,Not Specified,DHS HIFLD Critical Infrastructure
10001238,Hiland Mountain Correctional Center,State,Adult Correctional Facility,Medium,Open,9101 Hesterberg Rd,Eagle River,AK,99577,Anchorage,02020,(907) 694-9511,http://www.correct.state.ak.us/institutions,61.302965,-149.579536,404,342,Not Specified,DHS HIFLD Critical Infrastructure
10001231,Fairbanks Correctional Center,State,Adult Correctional Facility,Close,Open,1931 Eagan Avenue,Fairbanks,AK,99701,Fairbanks North Star,02090,(907) 458-6700,http://www.correct.state.ak.us/institutions,64.83295,-147.757645,258,230,Not Specified,DHS HIFLD Critical Infrastructure
10001232,Fairbanks Youth Facility,State,Juvenile Detention / Residential,Juvenile,Open,1502 Wilbur St,Fairbanks,AK,99701,Fairbanks North Star,02090,(907) 451-2150,http://dhss.alaska.gov/djj/Pages/Facilities/fyf.aspx,64.832761,-147.764615,28,16,Not Specified,DHS HIFLD Critical Infrastructure
10001242,Johnson Youth Center,State,Juvenile Detention / Residential,Juvenile,Open,3252 Hospital Dr,Juneau,AK,99801,Juneau,02110,(907) 586-9433,http://dhss.alaska.gov/djj/Pages/Facilities/facilities.aspx,58.329925,-134.467047,20,19,Not Specified,DHS HIFLD Critical Infrastructure
10001241,Lemon Creek Correctional Center,State,Adult Correctional Facility,Maximum,Open,2000 Lemon Creek Rd,Juneau,AK,99801,Juneau,02110,(907) 465-6200,http://www.correct.state.ak.us/institutions,58.362606,-134.484055,232,209,Not Specified,DHS HIFLD Critical Infrastructure
10003758,Kenai Peninsula Youth Facility,State,Juvenile Detention / Residential,Juvenile,Open,405 Marathon Road,Kenai,AK,99611,Kenai Peninsula,02122,(907) 335-3100,http://dhss.alaska.gov/djj/Pages/Facilities/facilities.aspx,60.566743,-151.233344,10,6,Not Specified,DHS HIFLD Critical Infrastructure
10003759,Wildwood Correctional Center,State,Adult Correctional Facility,Medium,Open,10 Chugach Avenue,Kenai,AK,99611,Kenai Peninsula,02122,(907) 260-7200,http://www.correct.state.ak.us/institutions,60.584665,-151.300566,264,275,Not Specified,DHS HIFLD Critical Infrastructure
10006203,Wildwood Pretrial Facility,State,Adult Correctional Facility,Medium,Open,5 Chugach Avenue,Kenai,AK,99611,Kenai Peninsula,02122,(907) 260-7200,http://www.correct.state.ak.us/institutions,60.582995,-151.301799,115,106,Not Specified,DHS HIFLD Critical Infrastructure
10003764,Ketchikan Correctional Center,State,Adult Correctional Facility,Not Specified,Open,1201 Schoenbar Rd.,Ketchikan,AK,99901,Ketchikan Gateway,02130,(907) 228-7350,http://www.correct.state.ak.us/institutions,55.348299,-131.649357,58,49,Not Specified,DHS HIFLD Critical Infrastructure
10003763,Ketchikan Regional Youth Facility,State,Juvenile Detention / Residential,Juvenile,Closed,3058 5th Avenue,Ketchikan,AK,99901,Ketchikan Gateway,02130,(907) 225-8900,http://dhss.alaska.gov/djj/Pages/Facilities/kryf.aspx,55.354924,-131.6852,10,0,Not Specified,DHS HIFLD Critical Infrastructure
10001233,Anvil Mountain Correctional Center,State,Adult Correctional Facility,Close,Open,1810 Center Creek Rd,Nome,AK,99762,Nome,02180,(907) 443-2241,http://www.correct.state.ak.us/institutions,64.537651,-165.413564,128,113,Not Specified,DHS HIFLD Critical Infrastructure
10001234,Nome Youth Facility,State,Juvenile Detention / Residential,Juvenile,Closed,804 E 4th Ave,Nome,AK,99762,Nome,02180,(907) 443-5434,http://dhss.alaska.gov/djj/Pages/Facilities/facilities.aspx,64.496798,-165.385655,14,5,Not Specified,DHS HIFLD Critical Infrastructure
10001235,Mat - Su Pretrial,State,Adult Correctional Facility,Close,Open,339 East Dogwood Avenue,Palmer,AK,99645,Matanuska - Susitna,02170,(907) 745-0943,http://www.correct.state.ak.us/institutions,61.602332,-149.109194,102,102,Not Specified,DHS HIFLD Critical Infrastructure
10006519,Mat - Su Youth Facility,State,Juvenile Detention / Residential,Juvenile,Open,581 Outer Springer Loop Rd,Palmer,AK,99645,Matanuska - Susitna Borough,02170,(907) 746-1630,http://dhss.alaska.gov/djj/Pages/Facilities/facilities.aspx,61.586188,-149.104612,15,12,Not Specified,DHS HIFLD Critical Infrastructure
10001237,Palmer Correctional Center,State,Adult Correctional Facility,Medium,Closed,N 58 Mile Rd,Palmer,AK,99645,Matanuska - Susitna,02170,(907) 745-5054,http://www.correct.state.ak.us/institutions/palmer,61.692765,-149.004807,,0,Not Specified,DHS HIFLD Critical Infrastructure
10001240,Spring Creek Correctional Center,State,Adult Correctional Facility,Maximum,Open,3600 Bette Cato,Seward,AK,99664,Kenai Peninsula,02122,(907) 224-8200,http://www.correct.state.ak.us/institutions,60.093111,-149.334178,551,518,Not Specified,DHS HIFLD Critical Infrastructure
10006386,Goose Creek Correctional Center,State,Adult Correctional Facility,Medium,Open,22301 West Alsop Road,Wasilla,AK,99623,Matanuska - Susitna,02170,(907) 864-8100,http://www.correct.state.ak.us/institutions,61.360306,-150.008448,1536,1125,Not Specified,DHS HIFLD Critical Infrastructure
10001236,Pt. Mackenzie Correctional Farm,State,Adult Correctional Facility,Minimum,Closed,P.o. Box 877730,Wasilla,AK,99687,Matanuska - Susitna,02170,(907) 376-2976,http://www.correct.state.ak.us/institutions,61.417292,-150.081916,112,49,Not Specified,DHS HIFLD Critical Infrastructure
10003744,Henry County Jail,County / Local,County / Local Jail,Not Specified,Open,106 E. Williams St.,Abbeville,AL,30310,Henry,01067,(334) 585-3293,,31.570299,-85.248597,,,Not Specified,DHS HIFLD Critical Infrastructure
10006898,Alabaster City Jail,County / Local,County / Local Jail,Not Specified,Open,201 1st Street N,Alabaster,AL,35007,Shelby,01117,(205) 663-7401,,33.245385,-86.816215,,,Not Specified,DHS HIFLD Critical Infrastructure
10006454,Albertville City Jail,County / Local,County / Local Jail,Not Specified,Open,201 South Broad Street,Albertville,AL,35950,Marshall,01095,(256) 878-1212,,34.266766,-86.209799,,,Not Specified,DHS HIFLD Critical Infrastructure
10003702,Marshall County Corrections,County / Local,County / Local Jail,Not Specified,Open,1190 Sand Mountain Dr.,Albertville,AL,35950,Marshall,01095,(256) 894-9969,,34.267736,-86.210625,,0,Not Specified,DHS HIFLD Critical Infrastructure
10006400,Covington County Jail,County / Local,County / Local Jail,Not Specified,Open,290 Hillcrest Drive,Andalusia,AL,36420,Covington,01039,(334) 428-2640,http://www.covcounty.com/county-jail,31.312241,-86.503,,,Not Specified,DHS HIFLD Critical Infrastructure
10001202,Calhoun County Jail,County / Local,County / Local Jail,Maximum,Open,400 W 8th St,Anniston,AL,36201,Calhoun,01015,(256) 236-5561,http://www.calcoso.org/jail/,33.653034,-85.833804,370,430,Not Specified,DHS HIFLD Critical Infrastructure
10003701,Arab City Jail,County / Local,County / Local Jail,Not Specified,Open,740 North Main Street,Arab,AL,35016,Marshall,01095,(256) 586-7525,http://www.arabcity.org/index.php/services/police,34.327964,-86.497167,24,,Not Specified,DHS HIFLD Critical Infrastructure
10003719,Clay County Detention Center,County / Local,County / Local Jail,Not Specified,Open,41771 State Highway 77,Ashland,AL,36251,Clay,01027,(256) 354-7713,http://www.clayso.net/,33.273153,-85.856671,480,,Not Specified,DHS HIFLD Critical Infrastructure
10006465,St. Clair County - Ashville Jail,County / Local,County / Local Jail,Not Specified,Open,162 6th Ave,Ashville,AL,35953,St. Clair,01115,(205) 594-2149,http://www.stclairco.com/212/County-Jail,33.836265,-86.253915,74,,Not Specified,DHS HIFLD Critical Infrastructure
10000130,Limestone County Jail,County / Local,County / Local Jail,Not Specified,Open,101 W Elm St,Athens,AL,35611,Limestone,01083,(256) 232-0111,http://www.limestonesheriff.com/,34.818139,-86.9699,,,Not Specified,DHS HIFLD Critical Infrastructure
10003751,Atmore Jail,County / Local,County / Local Jail,Not Specified,Open,201 East Louisville Avenue,Atmore,AL,36502,Escambia,01053,(251) 368-9141,,31.025188,-87.491744,,,Not Specified,DHS HIFLD Critical Infrastructure
10003749,Baldwin County Corrections Center,County / Local,County / Local Jail,Not Specified,Open,200 Hand Ave.,Bay Minette,AL,36507,Baldwin,01003,(251) 580-2581,http://sheriff.baldwincountyal.gov/divisions-details/correctionsdetails,30.885119,-87.77436,700,,Not Specified,DHS HIFLD Critical Infrastructure
10003748,Baldwin County Regional Juvenile Detention Center,County / Local,Juvenile Detention / Residential,Juvenile,Open,43405 Nicholsville Road,Bay Minette,AL,36507,Baldwin,01003,(251) 580-2540,http://baldwincountyal.gov/departments/juvenile-detention,30.85761,-87.768586,30,26,Not Specified,DHS HIFLD Critical Infrastructure
10003715,Bessemer Jail,County / Local,County / Local Jail,Not Specified,Open,1822 2nd Avenue North,Bessemer,AL,35020,Jefferson,01073,(205) 481-4160,https://jeffcosheriff.net/divisions/,33.401812,-86.953181,400,,Not Specified,DHS HIFLD Critical Infrastructure
10001207,Birmingham City Jail,County / Local,County / Local Jail,Not Specified,Open,425 6th Avenue South,Birmingham,AL,35205,Jefferson,01073,(205) 254-6369,https://police.birminghamal.gov/bureaus/support-operations/jail/,33.495276,-86.821654,,,Not Specified,DHS HIFLD Critical Infrastructure
10001205,Birmingham Jail,County / Local,County / Local Jail,Maximum,Open,809 Richard Arrington Jr Blvd N,Birmingham,AL,35203,Jefferson,01073,(205) 325-5670,http://www.jccal.org/Default.asp?ID=307&pg=County+Jail,33.522955,-86.808658,1075,1041,Not Specified,DHS HIFLD Critical Infrastructure
10001206,Jefferson County Youth Detention Center,County / Local,Juvenile Detention / Residential,Juvenile,Open,140 2nd Court N,Birmingham,AL,35204,Jefferson,01073,(205) 325-5491,https://www.jccal.org/Default.asp?ID=639&pg=Contact+Information,33.505464,-86.8327,,,Not Specified,DHS HIFLD Critical Infrastructure
10003699,Boaz Jail,County / Local,County / Local Jail,Not Specified,Open,101 Line Avenue,Boaz,AL,35957,Marshall,01095,(256) 593-6812,https://www.cityofboaz.org/158/Jail-Dispatch,34.195721,-86.164907,,,Not Specified,DHS HIFLD Critical Infrastructure
10001212,Bibb County Jail,County / Local,County / Local Jail,Not Specified,Open,94 Bibb Lane,Brent,AL,35034,Bibb,01007,(205) 926-9581,http://bibbcosoal.org/,32.922694,-87.157818,88,,Not Specified,DHS HIFLD Critical Infrastructure
